File Path,Operators,Operands
hosted/qiskit\03-simon.py,"{'transpile': 1, 'def': 3, 'QuantumCircuit': 2, 'for': 1, 'in': 1, 'enumerate': 1, 'if': 1, 'cx': 1, 'return': 3, 'to_gate': 1, 'h': 2, 'range': 5, 'append': 1, 'measure': 1, 'print': 1, 'draw': 1, '=': 11, '*': 3, '+': 1}","{'simon_oracle': 2, 'n': 16, 's': 8, 'qc': 13, 'i': 3, 'bit': 2, 'reversed': 1, 'label': 1, 'Simon': 1, 'Oracle': 1, 'simon_algorithm': 2, 'oracle': 2, 'solve_simon': 2, 'shots': 1, 'text': 1}"
hosted/qiskit\04-grover.py,"{'transpile': 1, 'def': 4, 'QuantumCircuit': 3, 'for': 3, 'in': 3, 'enumerate': 2, 'if': 2, 'x': 4, 'h': 7, 'mcx': 2, 'list': 2, 'range': 12, 'return': 4, 'to_gate': 2, '_': 1, 'append': 2, 'measure': 1, 'int': 1, 'np': 2, 'pi': 1, 'sqrt': 1, 'print': 1, 'draw': 1, '=': 17, '-': 8, '/': 1, '*': 3}","{'grover_oracle': 2, 'n': 31, 'marked_state': 9, 'oracle': 9, 'i': 4, 'bit': 4, 'reversed': 2, 'label': 2, 'Grover': 1, 'Oracle': 1, 'grover_diffusion': 2, 'diffusion': 11, 'Diffusion': 1, 'grover_algorithm': 2, 'iterations': 4, 'qc': 10, 'run_grover': 2, 'text': 1}"
hosted/qrisp\01-deutch-jotza.py,"{'def': 3, 'qrisp': 8, 'QuantumVariable': 2, 'x': 1, 'h': 3, 'measure': 1, 'return': 1, 'pass': 1, 'for': 1, 'in': 1, 'range': 1, 'len': 1, 'cx': 1, 'print': 2, '=': 7}","{'deutsch_jozsa': 3, 'n': 5, 'oracle': 2, 'input_qubits': 10, 'name': 2, 'input': 1, 'aux_qubit': 7, 'aux': 1, 'qs': 1, 'constant_oracle': 2, 'balanced_oracle': 2, 'i': 2, 'qc': 2, 'qc1': 2}"
hosted/qrisp\02-vazirani.py,"{'def': 1, 'qrisp': 1, 'QuantumCircuit': 1, 'x': 1, 'h': 2, 'range': 4, 'for': 1, 'in': 1, 'enumerate': 1, 'if': 1, 'cx': 1, 'measure': 1, 'return': 1, 'print': 1, '=': 6, '+': 2}","{'bernstein_vazirani_qrisp': 2, 'n': 11, 's': 4, 'qc': 9, 'i': 2, 'bit': 2, 'reversed': 1}"
hosted/qrisp\03-simon.py,"{'def': 2, 'qrisp': 2, 'QuantumCircuit': 2, 'for': 1, 'in': 1, 'enumerate': 1, 'if': 1, 'cx': 1, 'return': 2, 'to_gate': 1, 'h': 2, 'range': 5, 'append': 1, 'measure': 1, 'print': 1, '=': 8, '*': 3, '+': 1}","{'simon_oracle_qrisp': 2, 'n': 14, 's': 6, 'qc': 11, 'i': 3, 'bit': 2, 'reversed': 1, 'simon_algorithm_qrisp': 2, 'oracle': 2}"
hosted/qrisp\04-grover.py,"{'def': 3, 'qrisp': 3, 'QuantumCircuit': 3, 'for': 3, 'in': 3, 'enumerate': 2, 'if': 2, 'x': 4, 'h': 7, 'mcx': 2, 'list': 2, 'range': 12, 'return': 3, 'to_gate': 2, '_': 1, 'append': 2, 'measure': 1, 'int': 1, 'np': 2, 'pi': 1, 'sqrt': 1, 'print': 1, '=': 14, '-': 8, '/': 1, '*': 3}","{'grover_oracle_qrisp': 2, 'n': 29, 'marked_state': 7, 'oracle': 9, 'i': 4, 'bit': 4, 'reversed': 2, 'grover_diffusion_qrisp': 2, 'diffusion': 11, 'grover_algorithm_qrisp': 2, 'iterations': 4, 'qc': 8}"
standalone/qmod\01-deutch-jotza.qmod,"{'qfunc': 7, 'qnum': 6, 'qbit': 5, 'output': 2, 'allocate': 2, 'H': 1, 'within': 1, 'apply': 1, 'hadamard_transform': 2, 'lambda': 2, '^=': 1}","{'simple_predicate': 2, 'x': 13, 'res': 2, 'prep_minus': 2, 'out': 4, 'X': 1, 'my_oracle': 2, 'predicate': 4, 'target': 2, 'aux': 3, 'deutsch_jozsa': 2, 'y': 4, 'main': 1}"
standalone/qmod\02-vazirani.qmod,"{'qfunc': 3, 'int': 2, 'qbit': 4, 'repeat': 1, 'len': 1, 'if': 1, 'floor': 1, 'CX': 1, 'else': 1, 'IDENTITY': 1, 'hadamard_transform': 2, 'within': 1, 'allocate': 2, 'H': 1, 'apply': 1, 'output': 1, 'qnum': 1, '/': 1, '*': 2, '%': 1, '=': 2}","{'bv_predicate': 2, 'a': 4, 'x': 10, 'res': 3, 'i': 3, 'bv_function': 2, 'aux': 5, 'X': 1, 'main': 1}"
standalone/qmod\03-simon.qmod,"{'qfunc': 4, 'qnum': 7, 'output': 3, 'hadamard_transform': 2, 'int': 1, 'min': 1, 'allocate': 1, 'lambda': 1, '=': 1, '^': 1}","{'simon_qfunc': 2, 'f_qfunc': 2, 'x': 12, 'res': 6, 'simon_qfunc_simple': 2, 's': 2, 'main': 1}"
standalone/qmod\04-grover.qmod,"{'qfunc': 2, 'qbit': 3, 'output': 1, 'allocate': 1, 'len': 1, 'lambda': 1, 'phase_oracle': 1, '^=': 1, '&': 5, '^': 9}","{'sat_oracle': 2, 'x': 23, 'res': 2, 'main': 1, 'grover_search': 1, 'vars': 2}"
standalone/q#\01-deutch-jotza.qs,"{'operation': 4, '(': 13, 'Qubit': 4, 'Unit': 4, 'is': 3, 'Adj': 3, 'Ctl': 3, 'let': 5, 'Length': 1, 'for': 1, 'in': 1, '..': 3, 'CNOT': 1, '[': 6, 'Int': 1, 'Result': 1, 'use': 1, 'X': 1, 'ApplyToEachA': 2, 'H': 2, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, 'Message': 2, '+': 4, '=': 7, '-': 4}","{'ConstantOracle': 2, 'qubits': 12, 'BalancedOracle': 2, 'n': 11, 'i': 2, 'DeutschJozsaAlgorithm': 3, 'oracle': 2, 'results': 2, 'Main': 1, 'constantResults': 2, 'Constant': 1, 'Oracle': 2, 'Results': 2, 'balancedResults': 2, 'Balanced': 1}"
standalone/q#\02-vazirani.qs,"{'operation': 2, '(': 8, 'Int': 1, 'Bool': 1, 'Result': 1, 'use': 1, 'Qubit': 1, '[': 9, 'ApplyToEachA': 2, 'H': 3, '..': 4, 'X': 1, 'for': 1, 'in': 1, 'Message': 2, 'if': 1, 'Controlled X': 1, 'let': 4, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, 'Unit': 1, '=': 5, '+': 1, '-': 6}","{'bernstein_vazirani': 2, 'n': 13, 's': 4, 'qubits': 9, 'i': 3, 'numero': 1, 'results': 2, 'Main': 1, 'true': 3, 'false': 1, 'constantResults': 2, 'Constant': 1, 'Oracle': 1, 'Results': 1}"
standalone/q#\03-simon.qs,"{'operation': 3, '(': 9, 'Bool': 2, 'Qubit': 2, 'Unit': 2, 'let': 4, 'Length': 1, 'for': 1, 'in': 1, '..': 4, 'if': 1, '[': 7, 'Controlled X': 1, 'Int': 1, 'Result': 1, 'use': 1, 'ApplyToEachA': 2, 'H': 2, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, '=': 5, '-': 6, '+': 1, '*': 1}","{'SimonOracle': 2, 's': 7, 'qubits': 9, 'n': 11, 'i': 4, 'SimonAlgorithm': 2, 'results': 2, 'Main': 1, 'true': 2, 'false': 1}"
standalone/q#\04-grover.qs,"{'operation': 5, '(': 31, 'Qubit': 3, 'Bool': 3, 'Unit': 4, 'is': 2, 'Adj': 2, 'let': 6, 'Length': 3, 'for': 3, 'in': 3, '..': 4, 'if': 2, 'not': 2, '[': 12, 'X': 4, 'H': 7, 'Controlled X': 2, 'Most': 2, 'ApplyToEachA': 5, 'Int': 5, 'Result': 2, 'use': 1, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, 'mutable': 1, 'Round': 1, 'PI': 1, 'Sqrt': 1, 'IntAsDouble': 1, '=': 8, '-': 13, '/': 1, '*': 1, '^': 1}","{'GroverOracle': 2, 'qubits': 25, 'markedState': 7, 'n': 19, 'i': 6, 'GroverDiffusion': 2, 'grover_algorithm': 2, 'iterations': 4, '_': 1, 'results': 3, 'RunGrover': 2, 'shots': 1, 'resultsCount': 1, 'Main': 1, 'true': 2, 'false': 1}"
standalone/qasm\01-deutch-jotza.qasm,"{'qreg': 1, '[': 15, 'creg': 1, 'h': 7, 'cx': 3}","{'q': 14, 'c': 1}"
standalone/qasm\02-vazirani.qasm,"{'qreg': 1, '[': 18, 'creg': 1, 'h': 9, 'cx': 3}","{'q': 17, 'c': 1, 'x': 1}"
standalone/qasm\03-simon.qasm,"{'qreg': 1, '[': 12, 'creg': 1, 'h': 6, 'cx': 2}","{'q': 11, 'c': 1}"
standalone/qasm\04-grover.qasm,"{'qreg': 1, '[': 38, 'creg': 1, 'h': 13, 'ccx': 2, 'measure': 3, '/': 12, '-': 5}","{'q': 33, 'c': 4, 'x': 8, 'Flip': 1, 'because': 1, 'marked_state': 1, 'is': 1, 'Hadamard': 2, 'on': 1, 'the': 1, 'last': 1, 'qubit': 1, 'Controlled': 1, 'phase': 1, 'inversion': 2, 'multi': 1, 'controlled': 2, 'Toffoli': 1, 'Reverse': 2, 'flip': 1, 'Multi': 1}"
classic\01-deutch-jotza.py,"{'range': 1, '=': 7, '*': 2}","{'def': 3, 'constant_function': 2, 'x': 5, 'return': 4, 'balanced_function': 2, 'int': 1, 'is_constant_or_balanced': 3, 'f': 5, 'n': 6, 'all_inputs': 2, 'format': 1, 'i': 2, 'b': 1, 'for': 3, 'in': 3, 'outputs': 3, 'if': 1, 'all': 1, 'output': 2, 'constant': 1, 'else': 1, 'balanced': 1, 'result_constant': 2, 'print': 2, 'Constant': 1, 'function': 2, 'is': 2, 'result_balanced': 2, 'Balanced': 1}"
classic\02-vazirani.py,"{'range': 1, 'str': 1, 'sum': 1, 'zip': 1, '=': 8, '+': 1, '*': 1, '%': 1}","{'def': 2, 'classical_bernstein_vazirani': 2, 'n': 5, 'f': 5, 's': 5, 'for': 4, 'i': 2, 'in': 4, 'x': 4, 'return': 2, 'hidden_s': 3, 'len': 1, 's_bits': 2, 'int': 2, 'bit': 4, 'x_bits': 2, 'format': 1, 'b': 1, 's_bit': 2, 'x_bit': 2, 'recovered_s': 2, 'print': 1, 'Hidden': 1, 'string': 1}"
classic\03-simon.py,"{'range': 1, '=': 13, '*': 2, '^': 2}","{'def': 2, 'classical_simon': 2, 'n': 8, 'f': 8, 'inputs': 2, 'format': 4, 'i': 2, 'b': 4, 'for': 2, 'in': 3, 'output_map': 4, 'x': 6, 'output': 4, 'if': 3, 'x_prev': 2, 'x_current': 2, 'int': 4, 'x_previous': 2, 's': 3, 'return': 4, 'else': 3, 'None': 1, 'hidden_s': 3, 'len': 1, 'x_int': 4, 's_int': 3, 'recovered_s': 3, 'print': 2, 'Hidden': 1, 'string': 1, 'No': 1, 'valid': 1, 'secret': 1, 'found': 1}"
classic\04-grover.py,"{'range': 1, 'sum': 1, '=': 8, '/': 3, '*': 2, '+': 1}","{'def': 1, 'classical_grover_simulation': 2, 'N': 6, 'marked_index': 6, 'iterations': 5, 'probabilities': 7, 'for': 2, '_': 1, 'in': 2, 'total': 2, 'p': 2, 'return': 1, 'final_probabilities': 3, 'print': 2, 'Final': 1, 'f': 1, 'Probability': 1, 'of': 1, 'marked': 1, 'element': 1, 'index': 1}"
