File Path,Operators,Operands
hosted/quapl\06-qft.aplf,"{'.quapl': 9, '.circuit': 1, '.stage': 1, '.gates': 4, '.H': 1, '.SWAP': 1, '.': 6, '*': 10, '×': 9, '⍵': 17, '÷': 7, 'gCTR': 1, '⍴': 4, '-': 12, ',': 9, '+': 2, '⍳': 12, '⊂': 6, '[': 1, ']': 1, '↑': 4, '⊃': 3, '/': 3, '⌽': 3, '⍺': 4, '⍨': 6, '⌊': 2, '=': 1, '↓': 1, '.lib': 1, '⍤': 1, '|': 1, '>': 1, '∪': 1, '∊': 1, '{': 11, '(': 30}","{'_QFT_': 2, 'stage': 2, 'H': 2, 'SWAP': 2, 'Rz': 3, 'Rz2': 2, 'Rzn': 2, 'CRzn': 2, 'n_qubits': 9, 'lane': 2, 'match': 2, 'stage_all': 3, 'intermediate': 3, 'swap_circuit': 3, 'test_QFT_value_002': 1, 'input': 2, 'result': 2, '_r_': 3, 'correct_function': 2, 'correct_result': 2, 'Quantum': 1, 'Fourier': 1, 'Transform': 1, 'of': 1, 'basis': 1, 'state': 1, 'j': 2, 'is': 1, 'Assert': 1}"
hosted/quapl\07-qpe.aplf,{'{': 1},{'QPE': 1}
hosted/qiskit\01-deutsch-jozsa.py,"{'def': 3, 'QuantumCircuit': 3, 'x': 1, 'h': 2, 'range': 6, 'append': 1, 'measure': 1, 'return': 3, 'to_gate': 2, 'for': 1, 'in': 1, 'cx': 1, 'print': 2, 'draw': 2, '(': 28, '=': 8, '+': 5}","{'deutsch_jozsa': 3, 'n': 20, 'oracle': 7, 'qc': 9, 'constant_oracle': 2, 'label': 2, 'Constant': 1, 'Oracle': 2, 'balanced_oracle': 2, 'i': 2, 'Balanced': 1, 'qc2': 2, 'text': 2}"
hosted/qiskit\02-bernstein-vazirani.py,"{'def': 1, 'QuantumCircuit': 1, 'x': 1, 'h': 2, 'range': 4, 'for': 1, 'in': 1, 'enumerate': 1, 'if': 1, 'cx': 1, 'measure': 1, 'return': 1, 'print': 1, 'draw': 1, '(': 16, '=': 6, '+': 2}","{'bernstein_vazirani': 2, 'n': 11, 's': 4, 'qc': 9, 'i': 2, 'bit': 2, 'reversed': 1, 'text': 1}"
hosted/qiskit\03-simon.py,"{'transpile': 1, 'def': 2, 'QuantumCircuit': 2, 'for': 1, 'in': 1, 'enumerate': 1, 'if': 1, 'cx': 1, 'return': 2, 'to_gate': 1, 'h': 2, 'range': 3, 'append': 1, 'print': 1, 'draw': 1, '(': 18, '=': 9, '*': 3, '+': 1}","{'simon_oracle': 2, 'n': 12, 's': 6, 'qc': 10, 'i': 3, 'bit': 2, 'reversed': 1, 'label': 1, 'Simon': 1, 'Oracle': 1, 'simon_algorithm': 2, 'oracle': 2, 'text': 1}"
hosted/qiskit\04-grover.py,"{'def': 4, 'QuantumCircuit': 3, 'for': 3, 'in': 3, 'enumerate': 2, 'if': 2, 'x': 4, 'h': 7, 'mcx': 2, 'list': 2, 'range': 12, 'return': 4, 'to_gate': 2, '_': 1, 'append': 2, 'measure': 1, 'int': 1, 'np': 2, 'pi': 1, 'sqrt': 1, 'print': 1, 'draw': 1, '(': 51, '=': 17, '-': 8, '/': 1, '*': 3}","{'grover_oracle': 2, 'n': 31, 'marked_state': 9, 'oracle': 9, 'i': 4, 'bit': 4, 'reversed': 2, 'label': 2, 'Grover': 1, 'Oracle': 1, 'grover_diffusion': 2, 'diffusion': 11, 'Diffusion': 1, 'grover_algorithm': 2, 'iterations': 4, 'qc': 10, 'run_grover': 2, 'text': 1}"
hosted/qiskit\05-vqsvd.py,"{'np': 46, 'all': 1, 'def': 20, 'int': 8, 'and': 6, 'pi': 2, 'QuantumCircuit': 3, 'for': 10, 'in': 9, 'range': 10, 'cx': 1, 'return': 12, 'format': 1, 'enumerate': 1, 'if': 3, 'x': 10, 'append': 6, '_': 3, 'len': 2, 'sqrt': 1, 'or': 2, 'print': 6, 'list': 5, '^': 5, '(': 183, '=': 167, '-': 30, '*': 24, '[': 34, '+': 10, '{': 8, '/': 11, '%': 1}","{'import': 8, 'warnings': 2, 'os': 5, 'sys': 2, 'from': 4, 'PIL': 1, 'Image': 2, 'matplotlib': 1, 'pyplot': 1, 'as': 5, 'plt': 29, 'scipy': 1, 'linalg': 3, 'norm': 4, 'qiskit_aer': 1, 'AerSimulator': 2, 'joblib': 1, 'Parallel': 2, 'delayed': 2, 'filterwarnings': 1, 'ignore': 2, 'category': 1, 'RuntimeWarning': 1, 'seterr': 1, 'class': 4, 'DevNull': 2, 'write': 1, 'self': 93, 'msg': 1, 'pass': 2, 'flush': 1, 'stderr': 1, 'VQSVDQiskit': 2, '__init__': 3, 'matrix': 15, 'ndarray': 15, 'weights': 7, 'num_qubits': 20, 'depth': 8, 'rank': 23, 'lr': 5, 'float': 6, 'iterations': 10, 'seed': 6, 'Qiskit': 2, 'based': 1, 'Variational': 1, 'Quantum': 1, 'SVD': 3, 'using': 1, 'ADAM': 1, 'parameter': 1, 'shift': 1, 'random': 6, 'param_shape': 7, 'theta': 7, 'uniform': 2, 'size': 6, 'phi': 7, 'M': 2, 'astype': 5, 'complex': 7, 'backend': 2, 'method': 1, 'statevector': 1, 'U': 7, '_get_unitary': 7, 'V': 7, 'history_losses': 4, 'history_svals': 4, '_ansatz': 2, 'params': 5, 'qc': 11, 'd': 3, 'q': 10, 'ry': 1, 'rz': 1, 'dim': 7, 'columns': 3, 'idx': 2, 'bstr': 2, 'f': 9, 'b': 2, 'bit': 2, 'compose': 1, 'save_statevector': 1, 'result': 3, 'run': 1, 'vec': 2, 'get_statevector': 1, 'column_stack': 1, 'get_U': 2, 'get_V': 2, '_loss_and_svals': 3, 'flat_vars': 11, 'chunk': 6, 'reshape': 4, 'product': 2, 'conj': 2, 'T': 2, 'svals': 7, 'real': 7, 'i': 14, 'loss': 8, 'sum': 1, 'train_with_adam_numpy': 2, 'beta1': 4, 'beta2': 4, 'epsilon': 2, 'n_jobs': 4, 'concatenate': 1, 'flatten': 2, 'm': 4, 'zeros_like': 2, 'v': 4, 'alpha': 2, 'loss_only': 2, 'numerical_gradient_parallel': 2, 'eps': 3, 'fx': 2, 'grad_i': 2, 'x_step': 3, 'array': 6, 'fxh': 2, 'grad': 5, 't': 7, 'm_hat': 2, 'v_hat': 2, 'Iteration': 2, 'Loss': 5, 'frobenius_errors': 2, 'M_true': 3, 'M_approx': 4, 'U_learnt': 3, 'svals_list': 3, 'V_dagger_learnt': 3, 'U_true': 2, 'S_true': 2, 'Vh_true': 2, 'svd': 5, 'full_matrices': 1, 'True': 4, 'dtype': 4, 'err_local': 4, 'err_subfull': 4, 'err_svd': 4, 'U_blk': 2, 'S_blk': 2, 'diag': 3, 'V_blk': 2, 'lowrank': 3, 'U_est': 2, 'S_est': 2, 'V_est': 2, 'recons': 3, 'ord': 3, 'fro': 3, 'LossPlotQiskit': 2, 'save_path': 8, 'str': 3, 'results': 2, 'Initializes': 2, 'the': 5, 'plotting': 1, 'utility': 1, 'creates': 1, 'output': 1, 'directory': 1, 'makedirs': 1, 'exist_ok': 1, 'plot_loss_curve': 2, 'losses': 3, 'Plots': 1, 'curve': 2, 'over': 1, 'saves': 2, 'it': 1, 'figure': 3, 'plot': 3, 'label': 3, 'xlabel': 2, 'ylabel': 2, 'title': 6, 'VQSVD': 4, 'Curve': 1, 'grid': 2, 'legend': 2, 'filepath': 9, 'path': 3, 'join': 3, 'qiskit_loss_curve': 1, 'png': 4, 'savefig': 3, 'saved': 3, 'show': 3, 'close': 3, 'plot_singular_value_comparison': 2, 'vqsvd': 3, 'Compares': 1, 'singular': 1, 'value': 2, 'reconstruction': 1, 'errors': 2, 'classical': 1, 'o': 1, 'Reconstruction': 4, 'Used': 1, 'Rank': 1, 'Norm': 1, 'Distance': 1, 'Singular': 2, 'Value': 1, 'Comparison': 1, 'qiskit_singular_value_comparasion': 1, 'plot_matrix_image': 2, 'Reconstructed': 2, 'Matrix': 1, 'Displays': 1, 'a': 6, 'grayscale': 2, 'image': 3, 'imshow': 1, 'cmap': 1, 'gray': 1, 'colorbar': 1, 'qiskit_reconstruction_matrix': 1, 'MatrixGeneratorQiskit': 2, 'generator': 4, 'with': 1, 'specified': 1, 'number': 1, 'of': 3, 'qubits': 1, 'from_image': 2, 'image_path': 2, 'Loads': 1, 'n': 4, 'normalizes': 1, 'its': 1, 'pixel': 1, 'values': 1, 'to': 1, 'Returns': 1, 'img': 2, 'open': 1, 'convert': 1, 'L': 1, 'generate_random_matrix': 2, 'Generates': 1, 'randint': 2, 'imag': 2, '__name__': 1, '__main__': 1, 'circuit_depth': 2, 'learning_rate': 2, 'arange': 1, 'figures': 1, 'MNIST_32': 1, 'matrix_copy': 1, 'copy': 2, 'model': 5, 'Starting': 1, 'training': 1, 'this': 1, 'may': 1, 'take': 1, 'while': 1, 'loss_history': 2, 'svals_history': 4, 'Training': 1, 'completed': 1, 'U_final': 3, 'Vh_final': 3, 'plotter': 4, 'random_matrix': 3, 'random_copy': 2, 'svals_q': 2, 'svals_exact': 4, 'last_svals': 2, 'U_part': 2, 'D_part': 2, 'Vh_part': 2, 'reconstructed': 2}"
hosted/qiskit\06-qft.py,"{'def': 2, 'if': 1, 'return': 2, 'h': 1, 'for': 2, 'in': 2, 'range': 2, 'np': 1, 'pi': 1, 'QuantumCircuit': 1, 'print': 1, 'draw': 1, '(': 14, '=': 6, '-': 4, '/': 3, '*': 2}","{'qft_rotations': 3, 'circuit': 8, 'n': 15, 'qubit': 6, 'cp': 1, 'qft': 2, 'swap': 1, 'qc': 2}"
hosted/qiskit\07-qpe.py,"{'Aer': 1, 'def': 2, 'QuantumCircuit': 3, 'h': 2, 'range': 10, 'if': 2, 'is': 1, 'not': 1, 'append': 3, 'for': 4, 'in': 4, 'list': 1, 'measure': 1, 'return': 2, 'np': 2, 'pi': 2, 'print': 1, 'draw': 1, '(': 33, '=': 12, '+': 4, '*': 5, '[': 1, '/': 5, '-': 4, '^': 1, '{': 1}","{'execute': 1, 'qpe_circuit': 2, 'unitary': 2, 'n_count': 15, 'n_target': 6, 'target_state': 3, 'None': 2, 'qc': 17, 'i': 9, 'exponent': 2, 'power': 1, 'control': 1, 'qft_dg': 2, 'n': 5, 'qubit': 3, 'swap': 1, 'j': 3, 'cu1': 1, 'inverse': 1, 'name': 1, 'QFT': 1, '__name__': 1, '__main__': 1, 'U': 3, 'p': 1, 'eigenvalue': 1, 'e': 1}"
hosted/qrisp\01-deutsch-jozsa.py,"{'def': 5, 'QuantumVariable': 2, 'for': 4, 'in': 3, 'range': 1, 'pass': 3, 'h': 3, 'measure': 1, 'return': 3, 'qrisp': 1, 'print': 1, '(': 17, '=': 5, '[': 1}","{'as': 2, 'q': 4, 'deutsch_jozsa': 2, 'n': 7, 'oracle': 6, 'input_qubits': 4, 'aux_qubit': 3, 'qc': 3, 'Circuit': 1, 'i': 1, 'qubit': 4, 'constant_oracle': 1, 'balanced_oracle': 2, 'Implement': 1, 'the': 1, 'balanced': 1, 'logic': 1, 'necessary': 1, 'oracle_bal': 2}"
hosted/qrisp\02-bernstein-vazirani.py,"{'def': 1, 'qrisp': 6, 'QuantumVariable': 1, 'x': 1, 'h': 1, 'for': 1, 'in': 1, 'range': 1, 'len': 1, 'if': 1, 'cx': 1, 'measure': 1, 'return': 1, 'print': 1, '(': 12, '=': 6, '+': 1, '[': 4, '-': 1}","{'bernstein_vazirani_qrisp': 2, 'n': 5, 's': 5, 'qv': 7, 'with': 1, 'conjugate': 1, 'i': 3, 'qs': 1, 'compile': 1, 'qc': 2}"
hosted/qrisp\03-simon.py,"{'def': 2, 'for': 1, 'in': 1, 'range': 1, 'len': 1, 'if': 1, 'qrisp': 4, 'cx': 1, 'QuantumVariable': 1, 'h': 1, 'return': 1, 'print': 1, '(': 12, '[': 4, '=': 6, '+': 1, '*': 1}","{'oracle': 2, 'qv': 7, 's': 7, 'i': 4, 'n': 6, 'simon_algorithm_qrisp': 2, 'with': 1, 'conjugate': 1, 'qs': 1, 'compile': 1, 'qc': 2}"
hosted/qrisp\04-grover.py,"{'qrisp': 3, 'QuantumVariable': 1, 'lambda': 1, 'print': 1, '=': 6, '(': 5}","{'n': 2, 'marked_state': 2, 'qv': 5, 'oracle': 2, 'mcz': 1, 'ctrl_state': 1, 'grover': 1, 'grovers_alg': 1, 'qc': 2, 'qs': 1, 'compile': 1}"
hosted/qrisp\06-qft.py,"{'def': 1, 'QuantumVariable': 1, 'for': 3, 'in': 3, 'range': 3, 'h': 1, 'np': 1, 'pi': 1, 'return': 1, 'print': 1, '(': 12, '=': 3, '[': 5, '+': 1, '/': 3, '*': 2, '-': 3}","{'as': 1, 'q': 5, 'qft_qrisp': 2, 'n': 8, 'qv': 7, 'i': 8, 'j': 3, 'cp': 1, 'swap': 1, 'qs': 1, 'compile': 1, 'qc': 2}"
hosted/qrisp\07-qpe.py,"{'def': 1, 'for': 2, 'in': 2, 'range': 2, 'h': 1, 'np': 1, 'pi': 1, 'print': 1, '(': 8, '*': 4, '/': 1, '=': 1}","{'as': 1, 'q': 2, 'qpe': 2, 'circ': 6, 'n_count': 4, 'n_target': 1, 'i': 5, 'cphase': 1, 'Circuit': 1}"
standalone/qmod\01-deutsch-jozsa.qmod,"{'(': 2, '{': 2, '=': 1}","{'operation': 1, 'deutsch_jozsa': 1, 'n': 2, 'oracle': 1, 'main': 1}"
standalone/qmod\02-bernstein-vazirani.qmod,"{'qfunc': 3, 'int': 2, 'qbit': 4, 'repeat': 1, 'len': 1, 'if': 1, 'floor': 1, 'CX': 1, 'else': 1, 'IDENTITY': 1, 'hadamard_transform': 2, 'within': 1, 'allocate': 2, 'H': 1, 'apply': 1, 'output': 1, 'qnum': 1, '(': 18, '[': 3, '{': 8, '/': 1, '*': 2, '%': 1, '=': 2}","{'bv_predicate': 2, 'a': 4, 'x': 10, 'res': 3, 'i': 3, 'bv_function': 2, 'aux': 5, 'X': 1, 'main': 1}"
standalone/qmod\03-simon.qmod,"{'qfunc': 4, 'qnum': 7, 'output': 3, 'hadamard_transform': 2, 'int': 1, 'min': 1, 'allocate': 1, 'lambda': 1, '(': 12, '{': 4, '=': 1, '^': 1}","{'simon_qfunc': 2, 'f_qfunc': 2, 'x': 12, 'res': 6, 'simon_qfunc_simple': 2, 's': 2, 'main': 1}"
standalone/qmod\04-grover.qmod,"{'qfunc': 2, 'qbit': 3, 'output': 1, 'allocate': 1, 'len': 1, 'lambda': 1, 'phase_oracle': 1, '(': 31, '[': 20, '{': 3, '^=': 1, '&': 5, '^': 9}","{'sat_oracle': 2, 'x': 23, 'res': 2, 'main': 1, 'grover_search': 1, 'vars': 2}"
standalone/qmod\06-qft.qmod,"{'H': 1, 'allocate': 1, '(': 12, '{': 5, '=': 5, '+': 7, '[': 5, '/': 2, '^': 1, '-': 3}","{'operation': 1, 'qft': 2, 'n': 8, 'qbits': 9, 'for': 3, 'i': 12, 'j': 5, 'cphase': 1, 'pi': 1, 'SWAP': 1, 'main': 1, 'measure': 1}"
standalone/qmod\07-qpe.qmod,"{'H': 1, 'allocate': 1, '(': 9, '{': 4, '=': 5, '+': 5, '[': 3, '*': 2, '/': 1, '^': 1}","{'operation': 1, 'qpe': 2, 'n_count': 7, 'n_target': 4, 'qbits': 7, 'for': 2, 'i': 9, 'cphase': 1, 'pi': 1, 'main': 1, 'measure': 1}"
standalone/q#\01-deutsch-jozsa.qs,"{'operation': 4, '(': 17, 'Qubit': 3, 'Unit': 4, 'is': 2, 'Adj': 2, 'Ctl': 2, 'let': 5, 'Length': 1, 'for': 1, 'in': 1, '..': 3, 'CNOT': 1, '[': 8, 'use': 1, 'X': 1, 'ApplyToEachA': 2, 'H': 2, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, 'Message': 2, '{': 8, '+': 3, '=': 6, '-': 4}","{'ConstantOracle': 2, 'qubits': 12, 'BalancedOracle': 2, 'n': 10, 'i': 2, 'DeutschJozsaAlgorithm': 3, 'oracle': 1, 'results': 2, 'Main': 1, 'constantResults': 2, 'Constant': 1, 'Oracle': 2, 'Results': 2, 'balancedResults': 2, 'Balanced': 1}"
standalone/q#\02-bernstein-vazirani.qs,"{'operation': 2, '(': 14, 'Int': 1, 'Bool': 1, 'Result': 1, 'use': 1, 'Qubit': 1, '[': 13, 'ApplyToEachA': 2, 'H': 3, '..': 4, 'X': 1, 'for': 1, 'in': 1, 'Message': 2, 'if': 1, 'Controlled X': 1, 'let': 4, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, 'Unit': 1, '{': 7, '=': 5, '+': 1, '-': 6}","{'bernstein_vazirani': 2, 'n': 13, 's': 4, 'qubits': 9, 'i': 3, 'numero': 1, 'results': 2, 'Main': 1, 'true': 3, 'false': 1, 'constantResults': 2, 'Constant': 1, 'Oracle': 1, 'Results': 1}"
standalone/q#\03-simon.qs,"{'operation': 3, '(': 13, 'Bool': 2, 'Qubit': 2, 'Unit': 2, 'let': 4, 'Length': 1, 'for': 1, 'in': 1, '..': 4, 'if': 1, '[': 13, 'Controlled X': 1, 'Int': 1, 'Result': 1, 'use': 1, 'ApplyToEachA': 2, 'H': 2, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, '{': 6, '=': 5, '-': 6, '+': 1, '*': 1}","{'SimonOracle': 2, 's': 7, 'qubits': 9, 'n': 11, 'i': 4, 'SimonAlgorithm': 2, 'results': 2, 'Main': 1, 'true': 2, 'false': 1}"
standalone/q#\04-grover.qs,"{'operation': 5, '(': 37, 'Qubit': 3, 'Bool': 3, 'Unit': 4, 'is': 2, 'Adj': 2, 'let': 6, 'Length': 3, 'for': 3, 'in': 3, '..': 4, 'if': 2, 'not': 2, '[': 22, 'X': 4, 'H': 7, 'Controlled X': 2, 'Most': 2, 'ApplyToEachA': 5, 'Int': 5, 'Result': 2, 'use': 1, 'MeasureEachZ': 1, 'ResetAll': 1, 'return': 1, 'mutable': 1, 'Round': 1, 'PI': 1, 'Sqrt': 1, 'IntAsDouble': 1, '{': 11, '=': 8, '-': 13, '/': 1, '*': 1, '^': 1}","{'GroverOracle': 2, 'qubits': 25, 'markedState': 7, 'n': 19, 'i': 6, 'GroverDiffusion': 2, 'grover_algorithm': 2, 'iterations': 4, '_': 1, 'results': 3, 'RunGrover': 2, 'shots': 1, 'resultsCount': 1, 'Main': 1, 'true': 2, 'false': 1}"
standalone/q#\06-qft.qs,"{'operation': 2, '(': 12, 'Int': 1, 'Unit': 2, 'use': 1, 'Qubit': 1, '[': 7, 'for': 3, 'in': 3, 'H': 1, 'ResetAll': 1, '{': 6, '=': 1, '-': 6, '+': 1, '^': 1, '/': 1}","{'namespace': 1, 'QFT': 3, 'nQubits': 6, 'qs': 7, 'i': 8, 'j': 3, 'Controlled': 1, 'R1Frac': 1, 'SWAP': 1, 'RunQFT': 1}"
standalone/q#\07-qpe.qs,"{'operation': 1, 'Unit': 1, 'use': 2, 'Qubit': 2, '[': 5, 'H': 1, '(': 13, 'PI': 3, 'ResetAll': 1, '{': 2, '=': 2, '/': 2, '+': 1}","{'namespace': 1, 'QPE': 1, 'RunQPE': 1, 'ancilla': 6, 'target': 5, 'Controlled': 3, 'Rz': 3}"
standalone/qasm\01-deutsch-jozsa.qasm,"{'qreg': 1, '[': 16, 'creg': 1, 'x': 1, 'h': 7, 'cx': 3}","{'q': 15, 'c': 1}"
standalone/qasm\02-bernstein-vazirani.qasm,"{'qreg': 1, '[': 18, 'creg': 1, 'x': 1, 'h': 9, 'cx': 3}","{'q': 17, 'c': 1}"
standalone/qasm\03-simon.qasm,"{'qreg': 1, '[': 12, 'creg': 1, 'h': 6, 'cx': 2}","{'q': 11, 'c': 1}"
standalone/qasm\04-grover.qasm,"{'qreg': 1, '[': 29, 'creg': 1, 'h': 13, 'x': 8, 'ccx': 2}","{'q': 28, 'c': 1}"
standalone/qasm\06-qft.qasm,"{'qreg': 1, '[': 44, 'creg': 1, ',': 4, 'cx': 3, 'h': 6, '{': 1, '(': 15, '/': 15}","{'q': 43, 'c': 1, 'gate': 1, 'swap': 4, 'a': 4, 'b': 4, 'cu1': 15, 'pi': 15}"
standalone/qasm\07-qpe.qasm,"{'qreg': 1, '[': 11, 'creg': 1, 'h': 3, '(': 3, '/': 2}","{'q': 10, 'c': 1, 'cu1': 3, 'pi': 3}"
standalone/qasm3\01-deutsch-jozsa.qasm,"{'qubit': 1, '[': 10, 'bit': 1, 'x': 1, 'for': 3, 'int': 3, 'in': 3, 'h': 2, 'cx': 1, '{': 3}","{'q': 6, 'c': 1, 'i': 6}"
standalone/qasm3\02-bernstein-vazirani.qasm,"{'bit': 1, '[': 14, 'qubit': 1, 'x': 1, 'h': 3, 'for': 2, 'int': 2, 'in': 2, 'cx': 3, '{': 2}","{'c': 1, 'q': 11, 'i': 4}"
standalone/qasm3\03-simon.qasm,"{'bit': 1, '[': 10, 'qubit': 1, 'for': 2, 'int': 2, 'in': 2, 'h': 2, 'cx': 2, '{': 2}","{'c': 1, 'q': 7, 'i': 4}"
standalone/qasm3\04-grover.qasm,"{'bit': 1, '[': 24, 'qubit': 1, 'for': 5, 'int': 5, 'in': 5, 'h': 7, 'x': 4, 'ccx': 2, '{': 5}","{'c': 1, 'q': 18, 'i': 10}"
standalone/qasm3\06-qft.qasm,"{'qubit': 2, '[': 45, 'h': 6, 'bit': 1, 'measure': 1, '(': 17, '{': 1, '/': 15, '=': 1}","{'def': 1, 'qft': 2, 'q': 46, 'cu1': 15, 'pi': 15, 'swap': 3, 'c': 2}"
